date,sender_id,message
2024-11-29 07:47:52+00:00,-1002129137971,"TCS Recruitment For Freshers 

Any Graduate 

Salary : 10 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/tcs-jobs-latest-tcs-recruitment-2024/"
2024-11-29 06:27:01+00:00,-1002129137971,"Immediate Joiners Preferred 

Concentrix Recruitment For Freshers 

Any Graduate 

2 Weeks Training + Job 

Salary : 4.5 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/concentrix-jobs-latest-concentrix-recruitment-2024-2/"
2024-11-29 05:16:32+00:00,-1002129137971,"Wipro Recruitment For Freshers 

6 Weeks Training + Job 

Any Graduate 

Salary : 5.5 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/wipro-jobs-latest-wipro-recruitment-2024/"
2024-11-29 03:28:39+00:00,-1002129137971,"Google Recruitment For Freshers 

3 Months Internship + Job 

Any Graduate 

Salary : 6.5 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/google-jobs-internship-google-recruitment-for-freshers/"
2024-11-27 14:16:15+00:00,-1002129137971,"EY Recruitment For Freshers 

Any Graduate 

Salary : 8 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/ey-jobs-latest-ey-recruitment-for-freshers-3/"
2024-11-27 11:59:33+00:00,-1002129137971,"Sutherland Recruitment For Freshers 

Any Graduate 

4 Weeks Training + Job 

Salary : 4.5 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/sutherland-jobs-latest-sutherland-recruitment-2024-2/"
2024-11-27 05:15:50+00:00,-1002129137971,"HCL Tech Recruitment For Freshers 

Any Graduate 

2 Weeks Training + Job 

Salary : 4 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/hcl-tech-jobs-latest-hcl-tech-recruitment-2024/"
2024-11-27 03:30:52+00:00,-1002129137971,"Zomato Bulk Recruitment For Freshers 

Any Graduate 

3 Months Training + Job 

Salary : 5 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/zomato-jobs-latest-zomato-recruitment-2024/"
2024-11-26 09:09:32+00:00,-1002129137971,"Genpact Recruitment For Freshers 

Any Graduate 

12 Weeks Training + Job 

Salary : 8 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/latest-genpact-recruitment-2024-analyst-genpact-jobs/"
2024-11-26 07:58:01+00:00,-1002129137971,"Work From Home Jobs 

Cognizant Bulk Hiring For Freshers 

Any Graduate 

Software Engineer Jobs 

3 Months Training + Job 

Salary : 6.5 LPA 

Apply Link 👇🏻👇🏻👇🏻 
https://english.freejobsrecruitment.com/cognizant-jobs-latest-cognizant-recruitment-2024-3/"
